,dyad,ec,ec_avg
903,D002,0.0,0.0
904,D002,0.0,0.124
905,D002,0.0,0.397
906,D002,1.0,1.0
907,D002,1.0,0.769
908,D002,0.0,0.36
909,D002,1.0,0.414
910,D002,0.0,0.495
911,D002,1.0,0.209
912,D002,0.0,0.0
913,D002,0.0,0.0
914,D002,0.0,0.0
915,D002,0.0,0.0
916,D002,0.0,0.0
917,D002,0.0,0.405
918,D002,1.0,1.0
919,D002,1.0,1.0
920,D002,1.0,1.0
921,D002,1.0,0.134
922,D002,0.0,0.606
923,D002,0.0,0.0
924,D002,0.0,0.0
925,D002,0.0,0.0
926,D002,0.0,0.0
927,D002,0.0,0.0
928,D002,0.0,0.0
929,D002,0.0,0.915
930,D002,1.0,0.614
931,D002,0.0,0.0
932,D002,0.0,0.945
933,D002,1.0,0.394
934,D002,0.0,0.0
935,D002,0.0,0.0
936,D002,0.0,0.0
937,D002,0.0,0.0
938,D002,0.0,0.0
939,D002,0.0,0.0
940,D002,0.0,0.0
941,D002,0.0,0.0
942,D002,0.0,0.0
943,D002,0.0,0.0
944,D002,0.0,0.17
945,D002,1.0,0.384
946,D002,0.0,0.0
947,D002,0.0,0.0
948,D002,0.0,0.85
949,D002,1.0,1.0
950,D002,1.0,1.0
951,D002,1.0,0.304
952,D002,0.0,0.0
953,D002,0.0,0.0
954,D002,0.0,0.0
955,D002,0.0,0.0
956,D002,0.0,0.0
957,D002,0.0,0.0
958,D002,0.0,0.399
959,D002,0.0,0.05
960,D002,1.0,1.0
961,D002,1.0,0.749
962,D002,1.0,0.619
963,D002,0.0,0.015
964,D002,1.0,1.0
965,D002,1.0,1.0
966,D002,1.0,0.559
967,D002,0.0,0.0
968,D002,0.0,0.0
969,D002,0.0,0.0
970,D002,0.0,0.37
971,D002,1.0,1.0
972,D002,1.0,0.289
973,D002,1.0,0.389
974,D002,1.0,0.494
975,D002,0.0,0.024
976,D002,0.0,0.0
977,D002,0.0,0.414
978,D002,0.0,0.474
979,D002,0.0,0.445
980,D002,1.0,0.159
981,D002,0.0,0.247
982,D002,1.0,0.224
983,D002,0.0,0.0
984,D002,0.0,0.425
985,D002,1.0,0.009
986,D002,0.0,0.404
987,D002,0.0,0.0
988,D002,0.0,0.0
989,D002,0.0,0.0
990,D002,0.0,0.0
991,D002,0.0,0.0
992,D002,0.0,0.0
993,D002,0.0,0.0
994,D002,0.0,0.0
995,D002,0.0,0.0
996,D002,0.0,0.0
997,D002,0.0,0.0
998,D002,0.0,0.0
999,D002,0.0,0.0
1000,D002,0.0,0.0
1001,D002,0.0,0.0
1002,D002,0.0,0.0
1003,D002,0.0,0.324
